id|ssn|first_name|last_name|birthDate|gender|email|address|city|state|postalCode|mix
1|122-52-5243|Alanna|Hoogendorp|10/10/2007|Female|ahoogendorp0@ifeng.com|82515 Harper Avenue|Atlanta|GA|30343|85083
2|550-55-1972|Drusilla|Alexsandrovich|8/27/1929|Female|dalexsandrovich1@drupal.org|7 Pepper Wood Center|Nashville|TN|37250|80235
3|193-49-4055|Garold|Blackstock|7/4/1967|Male|gblackstock2@eventbrite.com|2446 Hudson Court|Las Vegas|NV|89130|70894
4|833-38-3794|Loree|Cossam||Female|lcossam3@ehow.com|965 Heath Lane|Augusta|GA|30905|78744
5|443-83-1519|Tonie|Pieroni|8/17/1952|Female|tpieroni4@eventbrite.com|8854 Debra Point|Portsmouth|NH|03804|92645
6|281-03-9920|Tiffani|Thornebarrow|3/6/1964|Female|tthornebarrow5@ycombinator.com|86 Toban Avenue|San Diego|CA|92176|65105
7|878-47-1668|Desi|Butter|7/4/1961|Male|dbutter6@theguardian.com|8287 Carpenter Road|Memphis|TN|38119|64142
8|152-77-6236|Emanuele|Harkes|2/21/1946|Male|eharkes7@acquirethisname.com|62 Spenser Lane|Gulfport|MS|39505|55417
9|703-74-0790|Codie|Skarman|4/4/1948|Male|cskarman8@yandex.ru|289 Pine View Point|Sparks|NV|89436|94126
10|683-29-2837|Celestyna|Bentsen|7/21/1949|Female|cbentsen9@nymag.com|5935 Northwestern Park|Seattle|WA|98195|83206
11|245-59-2319|Sara-ann|Colchett|2/15/1920|Female|scolchetta@booking.com|||||
12|110-86-9702|Killy|Jakubowski|8/29/2017|Male|kjakubowskib@usatoday.com|3079 Stephen Alley|Rockford|IL|61105|78470
13|847-04-7098|Birch|Raison|2/13/1931|Male|braisonc@yale.edu|4 Bunting Alley|San Antonio|TX|78278|80525
14|136-92-4249|Esta|MacCardle|7/13/1973|Female|emaccardled@dot.gov|2313 Sugar Pass|Atlanta|GA|31196|33355
15|727-38-6044|Milty|Knipe||Male|mknipee@kickstarter.com|294 Summerview Way|Dayton|OH|45408|30245
16|596-70-8735|Alva|Regitz|6/22/1962|Male|aregitzf@mozilla.org|785 Hintze Avenue|Littleton|CO|80161|43605
17|580-99-2583|Corinna|Androck|10/13/1943|Female|candrockg@wufoo.com|8 Cambridge Circle|Portland|OR|97211|33805
